job_id,title,role,location,industry,posted_date,skill
J001,Backend Developer,Backend Developer,Pune,IT,2026-01-05,Java
J001,Backend Developer,Backend Developer,Pune,IT,2026-01-05,Spring Boot
J001,Backend Developer,Backend Developer,Pune,IT,2026-01-05,SQL
J001,Backend Developer,Backend Developer,Pune,IT,2026-01-05,REST API
J001,Backend Developer,Backend Developer,Pune,IT,2026-01-05,Docker
J002,Java Developer,Backend Developer,Pune,IT,2026-01-08,Java
J002,Java Developer,Backend Developer,Pune,IT,2026-01-08,Spring Boot
J002,Java Developer,Backend Developer,Pune,IT,2026-01-08,SQL
J002,Java Developer,Backend Developer,Pune,IT,2026-01-08,PostgreSQL
J003,Backend Engineer,Backend Developer,Pune,IT,2026-01-12,Java
J003,Backend Engineer,Backend Developer,Pune,IT,2026-01-12,REST API
J003,Backend Engineer,Backend Developer,Pune,IT,2026-01-12,Docker
J003,Backend Engineer,Backend Developer,Pune,IT,2026-01-12,AWS
J004,Backend Developer,Backend Developer,Pune,IT,2026-01-15,Java
J004,Backend Developer,Backend Developer,Pune,IT,2026-01-15,Spring Boot
J004,Backend Developer,Backend Developer,Pune,IT,2026-01-15,PostgreSQL
J004,Backend Developer,Backend Developer,Pune,IT,2026-01-15,REST API
J005,Software Engineer,Backend Developer,Pune,IT,2026-01-20,Java
J005,Software Engineer,Backend Developer,Pune,IT,2026-01-20,SQL
J005,Software Engineer,Backend Developer,Pune,IT,2026-01-20,Spring Boot
J005,Software Engineer,Backend Developer,Pune,IT,2026-01-20,AWS
J006,Backend Developer,Backend Developer,Mumbai,IT,2026-01-23,Java
J006,Backend Developer,Backend Developer,Mumbai,IT,2026-01-23,Spring Boot
J006,Backend Developer,Backend Developer,Mumbai,IT,2026-01-23,SQL
J006,Backend Developer,Backend Developer,Mumbai,IT,2026-01-23,Docker
J007,Data Analyst,Data Analyst,Pune,IT,2026-01-25,Python
J007,Data Analyst,Data Analyst,Pune,IT,2026-01-25,SQL
J007,Data Analyst,Data Analyst,Pune,IT,2026-01-25,Excel
J008,Data Analyst,Data Analyst,Mumbai,Finance,2026-01-27,Python
J008,Data Analyst,Data Analyst,Mumbai,Finance,2026-01-27,SQL
J008,Data Analyst,Data Analyst,Mumbai,Finance,2026-01-27,Power BI
J009,Frontend Developer,Frontend Developer,Pune,IT,2026-02-01,React
J009,Frontend Developer,Frontend Developer,Pune,IT,2026-02-01,JavaScript
J009,Frontend Developer,Frontend Developer,Pune,IT,2026-02-01,HTML
