job_id,title,role,location,industry,posted_date,skill,source,confidence
J001,Backend Developer,Backend Developer,Pune,IT,2026-01-05,Java,exact,1.0
J001,Backend Developer,Backend Developer,Pune,IT,2026-01-05,Spring Boot,exact,1.0
J001,Backend Developer,Backend Developer,Pune,IT,2026-01-05,SQL,exact,1.0
J001,Backend Developer,Backend Developer,Pune,IT,2026-01-05,REST API,exact,1.0
J001,Backend Developer,Backend Developer,Pune,IT,2026-01-05,Docker,exact,1.0
J002,Java Developer,Backend Developer,Pune,IT,2026-01-08,Java,exact,1.0
J002,Java Developer,Backend Developer,Pune,IT,2026-01-08,Spring Boot,exact,1.0
J002,Java Developer,Backend Developer,Pune,IT,2026-01-08,SQL,exact,1.0
J002,Java Developer,Backend Developer,Pune,IT,2026-01-08,PostgreSQL,exact,1.0
J003,Backend Engineer,Backend Developer,Pune,IT,2026-01-12,Java,exact,1.0
J003,Backend Engineer,Backend Developer,Pune,IT,2026-01-12,REST API,exact,1.0
J003,Backend Engineer,Backend Developer,Pune,IT,2026-01-12,Docker,exact,1.0
J003,Backend Engineer,Backend Developer,Pune,IT,2026-01-12,AWS,exact,1.0
J004,Backend Developer,Backend Developer,Pune,IT,2026-01-15,Java,exact,1.0
J004,Backend Developer,Backend Developer,Pune,IT,2026-01-15,Spring Boot,exact,1.0
J004,Backend Developer,Backend Developer,Pune,IT,2026-01-15,PostgreSQL,exact,1.0
J004,Backend Developer,Backend Developer,Pune,IT,2026-01-15,REST API,exact,1.0
J005,Software Engineer,Backend Developer,Pune,IT,2026-01-20,Java,exact,1.0
J005,Software Engineer,Backend Developer,Pune,IT,2026-01-20,SQL,exact,1.0
J005,Software Engineer,Backend Developer,Pune,IT,2026-01-20,Spring Boot,exact,1.0
J005,Software Engineer,Backend Developer,Pune,IT,2026-01-20,AWS,exact,1.0
J006,Backend Developer,Backend Developer,Mumbai,IT,2026-01-23,Java,exact,1.0
J006,Backend Developer,Backend Developer,Mumbai,IT,2026-01-23,Spring Boot,exact,1.0
J006,Backend Developer,Backend Developer,Mumbai,IT,2026-01-23,SQL,exact,1.0
J006,Backend Developer,Backend Developer,Mumbai,IT,2026-01-23,Docker,exact,1.0
J007,Data Analyst,Data Analyst,Pune,IT,2026-01-25,Python,exact,1.0
J007,Data Analyst,Data Analyst,Pune,IT,2026-01-25,SQL,exact,1.0
J007,Data Analyst,Data Analyst,Pune,IT,2026-01-25,Excel,exact,1.0
J008,Data Analyst,Data Analyst,Mumbai,Finance,2026-01-27,Python,exact,1.0
J008,Data Analyst,Data Analyst,Mumbai,Finance,2026-01-27,SQL,exact,1.0
J008,Data Analyst,Data Analyst,Mumbai,Finance,2026-01-27,Power BI,exact,1.0
J009,Frontend Developer,Frontend Developer,Pune,IT,2026-02-01,React,exact,1.0
J009,Frontend Developer,Frontend Developer,Pune,IT,2026-02-01,JavaScript,exact,1.0
J009,Frontend Developer,Frontend Developer,Pune,IT,2026-02-01,HTML,exact,1.0
J009,Frontend Developer,Frontend Developer,Pune,IT,2026-02-01,CSS,exact,1.0
J010,Frontend Developer,Frontend Developer,Mumbai,IT,2026-02-04,React,exact,1.0
J010,Frontend Developer,Frontend Developer,Mumbai,IT,2026-02-04,JavaScript,exact,1.0
J010,Frontend Developer,Frontend Developer,Mumbai,IT,2026-02-04,Node.js,exact,1.0
J010,Frontend Developer,Frontend Developer,Mumbai,IT,2026-02-04,Express.js,semantic,0.608
J011,Node.js Developer,Backend Developer,Pune,IT,2026-02-05,Node.js,exact,1.0
